freq_hz,period_s,power_ms2hz,tier
1.40738423e-05,7.1054e+04,3.092289e+09,circadian
1.41983730e-05,7.0431e+04,2.998580e+09,circadian
1.43229036e-05,6.9818e+04,2.903216e+09,circadian
1.44474343e-05,6.9216e+04,2.806622e+09,circadian
1.45719650e-05,6.8625e+04,2.709203e+09,circadian
1.46964956e-05,6.8043e+04,2.611340e+09,circadian
1.48210263e-05,6.7472e+04,2.513384e+09,circadian
1.49455569e-05,6.6910e+04,2.415657e+09,circadian
1.50700876e-05,6.6357e+04,2.318444e+09,circadian
1.51946183e-05,6.5813e+04,2.222002e+09,circadian
1.53191489e-05,6.5278e+04,2.126550e+09,circadian
1.54436796e-05,6.4751e+04,2.032279e+09,circadian
1.55682103e-05,6.4233e+04,1.939347e+09,circadian
1.56927409e-05,6.3724e+04,1.847888e+09,circadian
1.58172716e-05,6.3222e+04,1.758012e+09,circadian
1.59418023e-05,6.2728e+04,1.669808e+09,circadian
1.60663329e-05,6.2242e+04,1.583348e+09,circadian
1.61908636e-05,6.1763e+04,1.498694e+09,circadian
1.63153942e-05,6.1292e+04,1.415896e+09,circadian
1.64399249e-05,6.0828e+04,1.335000e+09,circadian
1.65644556e-05,6.0370e+04,1.256048e+09,circadian
1.66889862e-05,5.9920e+04,1.179084e+09,circadian
1.68135169e-05,5.9476e+04,1.104149e+09,circadian
1.69380476e-05,5.9039e+04,1.031294e+09,circadian
1.70625782e-05,5.8608e+04,9.605677e+08,circadian
1.71871089e-05,5.8183e+04,8.920281e+08,circadian
1.73116395e-05,5.7765e+04,8.257361e+08,circadian
1.74361702e-05,5.7352e+04,7.617568e+08,circadian
1.75607009e-05,5.6945e+04,7.001581e+08,circadian
1.76852315e-05,5.6544e+04,6.410096e+08,circadian
1.78097622e-05,5.6149e+04,5.843803e+08,circadian
1.79342929e-05,5.5759e+04,5.303369e+08,circadian
1.80588235e-05,5.5375e+04,4.789415e+08,circadian
1.81833542e-05,5.4995e+04,4.302499e+08,circadian
1.83078849e-05,5.4621e+04,3.843091e+08,circadian
1.84324155e-05,5.4252e+04,3.411555e+08,circadian
1.85569462e-05,5.3888e+04,3.008138e+08,circadian
1.86814768e-05,5.3529e+04,2.632952e+08,circadian
1.88060075e-05,5.3174e+04,2.285967e+08,circadian
1.89305382e-05,5.2825e+04,1.967006e+08,circadian
1.90550688e-05,5.2479e+04,1.675742e+08,circadian
1.91795995e-05,5.2139e+04,1.411703e+08,circadian
1.93041302e-05,5.1802e+04,1.174273e+08,circadian
1.94286608e-05,5.1470e+04,9.627033e+07,circadian
1.95531915e-05,5.1143e+04,7.761221e+07,circadian
1.96777222e-05,5.0819e+04,6.135480e+07,circadian
1.98022528e-05,5.0499e+04,4.739031e+07,circadian
1.99267835e-05,5.0184e+04,3.560288e+07,circadian
2.00513141e-05,4.9872e+04,2.587008e+07,circadian
2.01758448e-05,4.9564e+04,1.806451e+07,circadian
2.03003755e-05,4.9260e+04,1.205529e+07,circadian
2.04249061e-05,4.8960e+04,7.709547e+06,circadian
2.05494368e-05,4.8663e+04,4.893802e+06,circadian
2.06739675e-05,4.8370e+04,3.475267e+06,circadian
2.07984981e-05,4.8080e+04,3.323017e+06,circadian
2.09230288e-05,4.7794e+04,4.309059e+06,circadian
2.10475594e-05,4.7511e+04,6.309261e+06,circadian
2.11720901e-05,4.7232e+04,9.204165e+06,circadian
2.12966208e-05,4.6956e+04,1.287966e+07,circadian
2.14211514e-05,4.6683e+04,1.722756e+07,circadian
2.15456821e-05,4.6413e+04,2.214597e+07,circadian
2.16702128e-05,4.6146e+04,2.753964e+07,circadian
2.17947434e-05,4.5883e+04,3.332012e+07,circadian
2.19192741e-05,4.5622e+04,3.940585e+07,circadian
2.20438048e-05,4.5364e+04,4.572208e+07,circadian
2.21683354e-05,4.5109e+04,5.220075e+07,circadian
2.22928661e-05,4.4857e+04,5.878028e+07,circadian
2.24173967e-05,4.4608e+04,6.540525e+07,circadian
2.25419274e-05,4.4362e+04,7.202604e+07,circadian
2.26664581e-05,4.4118e+04,7.859840e+07,circadian
2.27909887e-05,4.3877e+04,8.508302e+07,circadian
2.29155194e-05,4.3639e+04,9.144505e+07,circadian
2.30400501e-05,4.3403e+04,9.765364e+07,circadian
2.31645807e-05,4.3169e+04,1.036814e+08,circadian
2.32891114e-05,4.2939e+04,1.095042e+08,circadian
2.34136421e-05,4.2710e+04,1.151002e+08,circadian
2.35381727e-05,4.2484e+04,1.204501e+08,circadian
2.36627034e-05,4.2261e+04,1.255366e+08,circadian
2.37872340e-05,4.2039e+04,1.303439e+08,circadian
2.39117647e-05,4.1820e+04,1.348579e+08,circadian
2.40362954e-05,4.1604e+04,1.390655e+08,circadian
2.41608260e-05,4.1389e+04,1.429552e+08,circadian
2.42853567e-05,4.1177e+04,1.465166e+08,circadian
2.44098874e-05,4.0967e+04,1.497405e+08,circadian
2.45344180e-05,4.0759e+04,1.526191e+08,circadian
2.46589487e-05,4.0553e+04,1.551461e+08,circadian
2.47834793e-05,4.0349e+04,1.573167e+08,circadian
2.49080100e-05,4.0148e+04,1.591280e+08,circadian
2.50325407e-05,3.9948e+04,1.605789e+08,circadian
2.51570713e-05,3.9750e+04,1.616706e+08,circadian
2.52816020e-05,3.9554e+04,1.624065e+08,circadian
2.54061327e-05,3.9361e+04,1.627925e+08,circadian
2.55306633e-05,3.9169e+04,1.628369e+08,circadian
2.56551940e-05,3.8978e+04,1.625508e+08,circadian
2.57797247e-05,3.8790e+04,1.619478e+08,circadian
2.59042553e-05,3.8604e+04,1.610439e+08,circadian
2.60287860e-05,3.8419e+04,1.598579e+08,circadian
2.61533166e-05,3.8236e+04,1.584105e+08,circadian
2.62778473e-05,3.8055e+04,1.567248e+08,circadian
2.64023780e-05,3.7875e+04,1.548255e+08,circadian
2.65269086e-05,3.7698e+04,1.527388e+08,circadian
2.66514393e-05,3.7521e+04,1.504920e+08,circadian
2.67759700e-05,3.7347e+04,1.481132e+08,circadian
2.69005006e-05,3.7174e+04,1.456308e+08,circadian
2.70250313e-05,3.7003e+04,1.430730e+08,circadian
2.71495620e-05,3.6833e+04,1.404679e+08,circadian
2.72740926e-05,3.6665e+04,1.378423e+08,circadian
2.73986233e-05,3.6498e+04,1.352222e+08,circadian
2.75231539e-05,3.6333e+04,1.326318e+08,circadian
2.76476846e-05,3.6169e+04,1.300936e+08,circadian
2.77722153e-05,3.6007e+04,1.276281e+08,circadian
2.78967459e-05,3.5846e+04,1.252535e+08,circadian
2.80212766e-05,3.5687e+04,1.229858e+08,circadian
2.81458073e-05,3.5529e+04,1.208383e+08,circadian
2.82703379e-05,3.5373e+04,1.188221e+08,circadian
2.83948686e-05,3.5218e+04,1.169455e+08,circadian
2.85193992e-05,3.5064e+04,1.152146e+08,circadian
2.86439299e-05,3.4911e+04,1.136332e+08,circadian
2.87684606e-05,3.4760e+04,1.122027e+08,circadian
2.88929912e-05,3.4610e+04,1.109227e+08,circadian
2.90175219e-05,3.4462e+04,1.097909e+08,circadian
2.91420526e-05,3.4315e+04,1.088033e+08,circadian
2.92665832e-05,3.4169e+04,1.079545e+08,circadian
2.93911139e-05,3.4024e+04,1.072381e+08,circadian
2.95156446e-05,3.3880e+04,1.066467e+08,circadian
2.96401752e-05,3.3738e+04,1.061721e+08,circadian
2.97647059e-05,3.3597e+04,1.058058e+08,circadian
2.98892365e-05,3.3457e+04,1.055390e+08,circadian
3.00137672e-05,3.3318e+04,1.053632e+08,circadian
3.01382979e-05,3.3180e+04,1.052697e+08,circadian
3.02628285e-05,3.3044e+04,1.052504e+08,circadian
3.03873592e-05,3.2908e+04,1.052976e+08,circadian
3.05118899e-05,3.2774e+04,1.054044e+08,circadian
3.06364205e-05,3.2641e+04,1.055645e+08,circadian
3.07609512e-05,3.2509e+04,1.057727e+08,circadian
3.08854819e-05,3.2378e+04,1.060242e+08,circadian
3.10100125e-05,3.2248e+04,1.063155e+08,circadian
3.11345432e-05,3.2119e+04,1.066439e+08,circadian
3.12590738e-05,3.1991e+04,1.070074e+08,circadian
3.13836045e-05,3.1864e+04,1.074050e+08,circadian
3.15081352e-05,3.1738e+04,1.078365e+08,circadian
3.16326658e-05,3.1613e+04,1.083022e+08,circadian
3.17571965e-05,3.1489e+04,1.088033e+08,circadian
3.18817272e-05,3.1366e+04,1.093412e+08,circadian
3.20062578e-05,3.1244e+04,1.099180e+08,circadian
3.21307885e-05,3.1123e+04,1.105359e+08,circadian
3.22553191e-05,3.1003e+04,1.111975e+08,circadian
3.23798498e-05,3.0883e+04,1.119054e+08,circadian
3.25043805e-05,3.0765e+04,1.126623e+08,circadian
3.26289111e-05,3.0648e+04,1.134708e+08,circadian
3.27534418e-05,3.0531e+04,1.143334e+08,circadian
3.28779725e-05,3.0416e+04,1.152521e+08,circadian
3.30025031e-05,3.0301e+04,1.162290e+08,circadian
3.31270338e-05,3.0187e+04,1.172654e+08,circadian
3.32515645e-05,3.0074e+04,1.183626e+08,circadian
3.33760951e-05,2.9962e+04,1.195210e+08,circadian
3.35006258e-05,2.9850e+04,1.207408e+08,circadian
3.36251564e-05,2.9740e+04,1.220215e+08,circadian
3.37496871e-05,2.9630e+04,1.233623e+08,circadian
3.38742178e-05,2.9521e+04,1.247617e+08,circadian
3.39987484e-05,2.9413e+04,1.262176e+08,circadian
3.41232791e-05,2.9306e+04,1.277276e+08,circadian
3.42478098e-05,2.9199e+04,1.292889e+08,circadian
3.43723404e-05,2.9093e+04,1.308979e+08,circadian
3.44968711e-05,2.8988e+04,1.325512e+08,circadian
3.46214018e-05,2.8884e+04,1.342445e+08,circadian
3.47459324e-05,2.8780e+04,1.359736e+08,circadian
3.48704631e-05,2.8678e+04,1.377340e+08,circadian
3.49949937e-05,2.8576e+04,1.395210e+08,circadian
3.51195244e-05,2.8474e+04,1.413299e+08,circadian
3.52440551e-05,2.8374e+04,1.431557e+08,circadian
3.53685857e-05,2.8274e+04,1.449937e+08,circadian
3.54931164e-05,2.8174e+04,1.468391e+08,circadian
3.56176471e-05,2.8076e+04,1.486871e+08,circadian
3.57421777e-05,2.7978e+04,1.505332e+08,circadian
3.58667084e-05,2.7881e+04,1.523728e+08,circadian
3.59912390e-05,2.7785e+04,1.542015e+08,circadian
3.61157697e-05,2.7689e+04,1.560153e+08,circadian
3.62403004e-05,2.7594e+04,1.578101e+08,circadian
3.63648310e-05,2.7499e+04,1.595819e+08,circadian
3.64893617e-05,2.7405e+04,1.613272e+08,circadian
3.66138924e-05,2.7312e+04,1.630422e+08,circadian
3.67384230e-05,2.7219e+04,1.647237e+08,circadian
3.68629537e-05,2.7128e+04,1.663682e+08,circadian
3.69874844e-05,2.7036e+04,1.679725e+08,circadian
3.71120150e-05,2.6945e+04,1.695335e+08,circadian
3.72365457e-05,2.6855e+04,1.710482e+08,circadian
3.73610763e-05,2.6766e+04,1.725136e+08,circadian
3.74856070e-05,2.6677e+04,1.739266e+08,circadian
3.76101377e-05,2.6589e+04,1.752845e+08,circadian
3.77346683e-05,2.6501e+04,1.765844e+08,circadian
3.78591990e-05,2.6414e+04,1.778236e+08,circadian
3.79837297e-05,2.6327e+04,1.789994e+08,circadian
3.81082603e-05,2.6241e+04,1.801093e+08,circadian
3.82327910e-05,2.6156e+04,1.811508e+08,circadian
3.83573217e-05,2.6071e+04,1.821216e+08,circadian
3.84818523e-05,2.5986e+04,1.830199e+08,circadian
3.86063830e-05,2.5902e+04,1.838437e+08,circadian
3.87309136e-05,2.5819e+04,1.845916e+08,circadian
3.88554443e-05,2.5736e+04,1.852625e+08,circadian
3.89799750e-05,2.5654e+04,1.858557e+08,circadian
3.91045056e-05,2.5573e+04,1.863711e+08,circadian
3.92290363e-05,2.5491e+04,1.868089e+08,circadian
3.93535670e-05,2.5411e+04,1.871703e+08,circadian
3.94780976e-05,2.5331e+04,1.874567e+08,circadian
3.96026283e-05,2.5251e+04,1.876706e+08,circadian
3.97271589e-05,2.5172e+04,1.878151e+08,circadian
3.98516896e-05,2.5093e+04,1.878940e+08,circadian
3.99762203e-05,2.5015e+04,1.879122e+08,circadian
4.01007509e-05,2.4937e+04,1.878753e+08,circadian
4.02252816e-05,2.4860e+04,1.877898e+08,circadian
4.03498123e-05,2.4783e+04,1.876629e+08,circadian
4.04743429e-05,2.4707e+04,1.875028e+08,circadian
4.05988736e-05,2.4631e+04,1.873185e+08,circadian
4.07234043e-05,2.4556e+04,1.871197e+08,circadian
4.08479349e-05,2.4481e+04,1.869166e+08,circadian
4.09724656e-05,2.4407e+04,1.867201e+08,circadian
4.10969962e-05,2.4333e+04,1.865416e+08,circadian
4.12215269e-05,2.4259e+04,1.863927e+08,circadian
4.13460576e-05,2.4186e+04,1.862851e+08,circadian
4.14705882e-05,2.4113e+04,1.862306e+08,circadian
4.15951189e-05,2.4041e+04,1.862407e+08,circadian
4.17196496e-05,2.3970e+04,1.863266e+08,circadian
4.18441802e-05,2.3898e+04,1.864989e+08,circadian
4.19687109e-05,2.3827e+04,1.867674e+08,circadian
4.20932416e-05,2.3757e+04,1.871410e+08,circadian
4.22177722e-05,2.3687e+04,1.876274e+08,circadian
4.23423029e-05,2.3617e+04,1.882328e+08,circadian
4.24668335e-05,2.3548e+04,1.889622e+08,circadian
4.25913642e-05,2.3479e+04,1.898186e+08,circadian
4.27158949e-05,2.3410e+04,1.908036e+08,circadian
4.28404255e-05,2.3342e+04,1.919165e+08,circadian
