ts,STAGE,datetime,stage_label,datetime_local
1733707620,3,2024-12-09 01:27:00,Light,2024-12-09 02:27
1733708340,4,2024-12-09 01:39:00,Deep,2024-12-09 02:39
1733709660,4,2024-12-09 02:01:00,Deep,2024-12-09 03:01
1733710020,2,2024-12-09 02:07:00,REM,2024-12-09 03:07
1733710620,4,2024-12-09 02:17:00,Deep,2024-12-09 03:17
1733710800,4,2024-12-09 02:20:00,Deep,2024-12-09 03:20
1733711340,2,2024-12-09 02:29:00,REM,2024-12-09 03:29
1733711520,2,2024-12-09 02:32:00,REM,2024-12-09 03:32
1733712960,3,2024-12-09 02:56:00,Light,2024-12-09 03:56
1733713560,4,2024-12-09 03:06:00,Deep,2024-12-09 04:06
1733713800,2,2024-12-09 03:10:00,REM,2024-12-09 04:10
1733713980,2,2024-12-09 03:13:00,REM,2024-12-09 04:13
1733715240,3,2024-12-09 03:34:00,Light,2024-12-09 04:34
1733716980,3,2024-12-09 04:03:00,Light,2024-12-09 05:03
1733717280,4,2024-12-09 04:08:00,Deep,2024-12-09 05:08
1733717760,4,2024-12-09 04:16:00,Deep,2024-12-09 05:16
1733717940,3,2024-12-09 04:19:00,Light,2024-12-09 05:19
1733718120,2,2024-12-09 04:22:00,REM,2024-12-09 05:22
1733718540,3,2024-12-09 04:29:00,Light,2024-12-09 05:29
1733718780,4,2024-12-09 04:33:00,Deep,2024-12-09 05:33
1733719080,3,2024-12-09 04:38:00,Light,2024-12-09 05:38
1733719620,2,2024-12-09 04:47:00,REM,2024-12-09 05:47
1733719800,2,2024-12-09 04:50:00,REM,2024-12-09 05:50
1733720100,3,2024-12-09 04:55:00,Light,2024-12-09 05:55
1733720580,3,2024-12-09 05:03:00,Light,2024-12-09 06:03
1733721840,2,2024-12-09 05:24:00,REM,2024-12-09 06:24
1733721960,4,2024-12-09 05:26:00,Deep,2024-12-09 06:26
1733722500,2,2024-12-09 05:35:00,REM,2024-12-09 06:35
1733722560,4,2024-12-09 05:36:00,Deep,2024-12-09 06:36
1733723280,4,2024-12-09 05:48:00,Deep,2024-12-09 06:48
1733723640,3,2024-12-09 05:54:00,Light,2024-12-09 06:54
1733723700,5,2024-12-09 05:55:00,Awake,2024-12-09 06:55
1733723760,4,2024-12-09 05:56:00,Deep,2024-12-09 06:56
1733724000,2,2024-12-09 06:00:00,REM,2024-12-09 07:00
1733724060,3,2024-12-09 06:01:00,Light,2024-12-09 07:01
1733787300,3,2024-12-09 23:35:00,Light,2024-12-10 00:35
1733789460,2,2024-12-10 00:11:00,REM,2024-12-10 01:11
1733789760,4,2024-12-10 00:16:00,Deep,2024-12-10 01:16
1733790180,3,2024-12-10 00:23:00,Light,2024-12-10 01:23
1733790660,3,2024-12-10 00:31:00,Light,2024-12-10 01:31
1733791080,4,2024-12-10 00:38:00,Deep,2024-12-10 01:38
1733791980,2,2024-12-10 00:53:00,REM,2024-12-10 01:53
1733793180,4,2024-12-10 01:13:00,Deep,2024-12-10 02:13
1733793720,4,2024-12-10 01:22:00,Deep,2024-12-10 02:22
1733794200,3,2024-12-10 01:30:00,Light,2024-12-10 02:30
1733794320,5,2024-12-10 01:32:00,Awake,2024-12-10 02:32
1733794560,3,2024-12-10 01:36:00,Light,2024-12-10 02:36
1733795160,2,2024-12-10 01:46:00,REM,2024-12-10 02:46
1733795340,4,2024-12-10 01:49:00,Deep,2024-12-10 02:49
